id_pedido,fecha_pedido,id_cliente,producto,cantidad,ciudad_envio,metodo_pago,canal_venta,calificacion_cliente,categoria,precio_unitario,total_pedido,estado_pedido
ORD-11174,2024-04-06 01:16:01,CUST-1182,Cargador USB-C 65W,1,Tijuana,Tarjeta de credito,App movil,,Accesorios,400.44,400.44,Cancelado
ORD-11417,2024-06-14 17:30:40,CUST-1346,Cargador USB-C 65W,2,Ciudad de Mexico,Tarjeta de debito,Sitio web,4.0,Accesorios,471.96,943.92,Completado
ORD-11084,2024-03-26 09:25:03,CUST-1137,Impresora Multifuncional,3,Merida,Tarjeta de credito,App movil,4.0,Oficina,2500.48,7501.44,Completado
ORD-10069,2024-03-24 16:20:15,CUST-1059,Cargador USB-C 65W,1,Merida,Transferencia,Sitio web,4.0,Accesorios,472.33,472.33,Completado
ORD-10353,2024-03-03 12:31:42,CUST-1078,Webcam HD 1080p,4,Puebla,Transferencia,App movil,5.0,Accesorios,727.71,2910.84,Completado
ORD-10100,2024-05-16 17:02:11,CUST-1078,Mouse Inalambrico Pro,5,Puebla,Tarjeta de credito,Marketplace,4.0,Accesorios,317.82,1589.1,Cancelado
ORD-11552,2024-06-10 02:04:16,CUST-1258,Cargador USB-C 65W,4,Queretaro,Transferencia,App movil,5.0,Accesorios,394.57,1578.28,Completado
ORD-10785,2024-10-27 21:36:25,CUST-1353,Impresora Multifuncional,3,merida,Tarjeta de credito,Marketplace,4.0,Oficina,2738.55,8215.65,Completado
ORD-11339,2024-10-15 21:33:10,CUST-1243,Router WiFi 6,2,puebla,Tarjeta de credito,Marketplace,5.0,Redes,1802.39,3604.78,Completado
ORD-10041,2024-07-11 10:42:53,CUST-1257,Mouse Inalambrico Pro,1,Queretaro,Tarjeta de credito,App movil,5.0,Accesorios,338.67,338.67,Completado
ORD-10074,2024-02-17 22:13:46,CUST-1272,Tablet 10 pulgadas,3,Queretaro,Tarjeta de credito,Sitio web,3.0,Computo,4123.13,12369.39,Completado
ORD-11348,2024-07-21 12:57:39,CUST-1212,Tablet 10 pulgadas,1,Monterrey,Tarjeta de credito,Sitio web,3.0,Computo,4340.77,4340.77,Completado
ORD-11980,2024-10-17 07:11:43,CUST-1311,Webcam HD 1080p,1,Guadalajara,Tarjeta de credito,App movil,4.0,Accesorios,687.37,687.37,Completado
ORD-11373,2024-09-15 03:46:37,CUST-1381,Impresora Multifuncional,1,Tijuana,Tarjeta de credito,Sitio web,5.0,Oficina,2663.68,2663.68,Cancelado
ORD-10918,2024-03-15 17:54:16,CUST-1265,Laptop Ultrabook Air,1,Monterrey,Tarjeta de credito,Sitio web,5.0,Computo,14703.61,14703.61,Completado
ORD-10861,2024-02-05 13:41:58,CUST-1101,Webcam HD 1080p,3,Merida,Tarjeta de credito,App movil,5.0,Accesorios,638.87,1916.61,Completado
ORD-11903,2024-05-27 12:18:45,CUST-1140,Tablet 10 pulgadas,1,Ciudad de Mexico,Tarjeta de debito,App movil,3.0,Computo,4403.82,4403.82,Completado
ORD-11798,2024-01-07 07:03:09,CUST-1116,Impresora Multifuncional,3,Monterrey,PayPal,App movil,3.0,Oficina,2828.85,8486.55,Completado
ORD-11500,2024-03-31 14:02:03,CUST-1141,Laptop Ultrabook Air,4,Queretaro,Tarjeta de debito,App movil,1.0,Computo,14198.08,56792.32,Completado
ORD-11843,2024-01-22 07:40:35,CUST-1193,Disco SSD 1TB,3,Guadalajara,Tarjeta de credito,App movil,4.0,Almacenamiento,1465.13,4395.39,Completado
ORD-10239,2024-12-13 19:55:41,CUST-1184,Teclado Mecanico RGB,2,Queretaro,Tarjeta de debito,App movil,5.0,Accesorios,1028.73,2057.46,Completado
ORD-11930,2024-06-09 01:37:18,CUST-1102,Audifonos Bluetooth,1,Queretaro,PayPal,App movil,,Accesorios,897.64,897.64,Completado
ORD-11849,2024-07-21 03:52:57,CUST-1183,Router WiFi 6,5,Monterrey,Transferencia,App movil,2.0,Redes,1720.57,8602.85,Completado
ORD-10618,2024-07-18 12:07:22,CUST-1096,Audifonos Bluetooth,1,Tijuana,Tarjeta de credito,App movil,5.0,Accesorios,867.58,867.58,Completado
ORD-10175,2024-09-22 11:57:16,CUST-1298,Mouse Inalambrico Pro,2,,Tarjeta de debito,Sitio web,4.0,Accesorios,316.34,632.68,Completado
ORD-11129,2024-06-07 23:36:15,CUST-1241,Impresora Multifuncional,1,Tijuana,Tarjeta de credito,App movil,4.0,Oficina,2814.28,2814.28,Completado
ORD-11692,2024-01-26 15:28:40,CUST-1106,Impresora Multifuncional,3,Tijuana,Tarjeta de debito,App movil,5.0,Oficina,2850.32,8550.96,Completado
ORD-10340,2024-07-22 08:01:21,CUST-1207,"Monitor Curvo 27""",4,Monterrey,Tarjeta de credito,Marketplace,,Computo,5818.63,23274.52,Completado
ORD-10536,2024-03-30 03:35:14,CUST-1177,Tablet 10 pulgadas,1,Puebla,Tarjeta de debito,Sitio web,5.0,Computo,4483.47,4483.47,Completado
ORD-11170,2024-02-18 02:42:51,CUST-1254,Smartwatch Fit,2,Puebla,Transferencia,Marketplace,4.0,Wearables,2275.16,4550.32,Cancelado
ORD-11872,2024-02-14 10:23:03,CUST-1360,Silla Ergonomica,2,Merida,PayPal,Sitio web,4.0,Oficina,2885.35,5770.7,Cancelado
ORD-10872,2024-08-06 05:43:08,CUST-1108,Router WiFi 6,2,Queretaro,PayPal,App movil,4.0,Redes,1571.26,3142.52,Cancelado
ORD-10135,2024-09-17 17:28:08,CUST-1361,Disco SSD 1TB,1,Tijuana,Tarjeta de debito,App movil,5.0,Almacenamiento,1375.98,1375.98,Cancelado
ORD-10599,2024-12-19 17:45:35,CUST-1056,Tablet 10 pulgadas,4,Puebla,Efectivo contra entrega,App movil,4.0,Computo,4581.31,18325.24,Completado
ORD-11476,2024-08-16 01:23:36,CUST-1144,Disco SSD 1TB,1,Monterrey,Tarjeta de credito,App movil,5.0,Almacenamiento,1405.15,1405.15,Completado
ORD-11183,2024-07-28 23:05:23,CUST-1250,Impresora Multifuncional,4,Guadalajara,PayPal,Sitio web,4.0,Oficina,2517.63,10070.52,Completado
ORD-11522,2024-09-11 01:54:06,CUST-1351,Webcam HD 1080p,4,guadalajara,Tarjeta de debito,Sitio web,2.0,Accesorios,690.77,2763.08,Completado
ORD-11184,2024-12-19 04:35:43,CUST-1034,Teclado Mecanico RGB,1,Ciudad de Mexico,Efectivo contra entrega,App movil,5.0,Accesorios,1040.68,1040.68,Devuelto
ORD-10069,2024-03-24 16:20:15,CUST-1059,Cargador USB-C 65W,1,Merida,Transferencia,Sitio web,4.0,Accesorios,472.33,472.33,Completado
ORD-11227,2024-12-02 04:20:53,CUST-1071,Laptop Ultrabook Air,5,Merida,Efectivo contra entrega,App movil,5.0,Computo,15897.58,79487.9,Completado
ORD-10363,2024-03-20 03:14:30,CUST-1278,Audifonos Bluetooth,2,Puebla,PayPal,Sitio web,5.0,Accesorios,938.58,1877.16,Cancelado
ORD-10458,2024-03-08 18:42:00,CUST-1265,Mouse Inalambrico Pro,2,Tijuana,Tarjeta de credito,Sitio web,4.0,Accesorios,322.15,644.3,Completado
ORD-10336,2024-05-04 02:47:59,CUST-1090,Bocina Portatil,1,Guadalajara,Transferencia,App movil,5.0,Accesorios,813.42,813.42,Completado
ORD-10151,2024-03-26 09:40:20,CUST-1227,Tablet 10 pulgadas,3,Merida,Transferencia,Sitio web,3.0,Computo,4416.88,13250.64,Completado
ORD-10073,2024-07-22 19:45:17,CUST-1143,Laptop Ultrabook Air,1,Queretaro,Tarjeta de credito,App movil,3.0,Computo,13559.34,13559.34,Completado
ORD-10476,2024-11-28 06:34:15,CUST-1005,Tablet 10 pulgadas,1,Tijuana,Tarjeta de credito,App movil,5.0,Computo,4159.54,4159.54,Completado
ORD-11736,2024-03-05 04:57:50,CUST-1355,Disco SSD 1TB,1,Queretaro,PayPal,App movil,4.0,Almacenamiento,1257.05,1257.05,Cancelado
ORD-10672,2024-06-22 12:55:43,CUST-1175,Webcam HD 1080p,1,Queretaro,Efectivo contra entrega,App movil,4.0,Accesorios,726.08,726.08,Cancelado
ORD-11247,2024-04-19 10:27:22,CUST-1203,Webcam HD 1080p,2,Merida,Tarjeta de credito,Sitio web,,Accesorios,597.61,1195.22,Completado
ORD-10720,2024-11-25 12:40:31,CUST-1203,Silla Ergonomica,2,Guadalajara,Tarjeta de debito,Sitio web,5.0,Oficina,3152.24,6304.48,Completado
ORD-11876,2024-11-05 21:52:29,CUST-1323,Webcam HD 1080p,1,Puebla,PayPal,App movil,2.0,Accesorios,711.28,711.28,Completado
ORD-10217,2024-03-10 14:16:24,CUST-1020,"Monitor Curvo 27""",4,Guadalajara,Transferencia,Marketplace,5.0,Computo,5961.89,23847.56,Completado
ORD-11666,2024-11-06 10:15:54,CUST-1152,Impresora Multifuncional,1,Monterrey,Tarjeta de debito,App movil,5.0,Oficina,2796.67,2796.67,Devuelto
ORD-11726,2024-04-15 23:33:11,CUST-1138,Mouse Inalambrico Pro,2,Merida,Tarjeta de debito,Marketplace,4.0,Accesorios,347.02,694.04,Cancelado
ORD-11536,2024-06-02 08:29:56,CUST-1326,Router WiFi 6,2,Tijuana,Tarjeta de credito,App movil,4.0,Redes,1677.37,3354.74,Completado
ORD-11944,2024-04-25 20:29:04,CUST-1333,Silla Ergonomica,1,Ciudad de Mexico,Efectivo contra entrega,App movil,,Oficina,2720.86,2720.86,Completado
ORD-11356,2024-09-21 06:54:58,CUST-1269,Smartwatch Fit,5,Guadalajara,PayPal,Marketplace,1.0,Wearables,2471.37,12356.85,Completado
ORD-10200,2024-05-23 14:21:07,CUST-1252,"Monitor Curvo 27""",4,Guadalajara,Tarjeta de debito,Sitio web,5.0,Computo,6097.08,24388.32,Completado
ORD-10171,2024-10-17 00:00:14,CUST-1338,"Monitor Curvo 27""",-5,Monterrey,Efectivo contra entrega,App movil,5.0,Computo,5925.85,-29629.25,Cancelado
ORD-10355,2024-11-09 15:29:59,CUST-1061,Laptop Gamer X15,3,Merida,Transferencia,App movil,,Computo,16983.74,50951.22,Completado
ORD-10203,2024-08-19 17:25:39,CUST-1362,Cargador USB-C 65W,1,Guadalajara,Transferencia,App movil,5.0,Accesorios,389.72,389.72,Completado
ORD-10152,2024-07-05 02:41:57,CUST-1071,Bocina Portatil,4,Merida,Efectivo contra entrega,Sitio web,2.0,Accesorios,831.91,3327.64,Completado
ORD-10896,2024-01-07 14:00:03,CUST-1223,Impresora Multifuncional,1,Ciudad de Mexico,PayPal,App movil,4.0,Oficina,2482.76,2482.76,Cancelado
ORD-10897,2024-09-23 19:16:58,CUST-1129,Webcam HD 1080p,1,Merida,PayPal,Sitio web,5.0,Accesorios,674.31,674.31,Completado
ORD-10038,2024-03-13 15:21:12,CUST-1063,Laptop Ultrabook Air,5,Ciudad de Mexico,Tarjeta de debito,App movil,1.0,Computo,15946.08,79730.4,Completado
ORD-11455,2024-07-26 13:59:59,CUST-1172,Tablet 10 pulgadas,2,Merida,Transferencia,Marketplace,4.0,Computo,4648.57,9297.14,Completado
ORD-11549,2024-11-27 10:31:26,CUST-1248,Audifonos Bluetooth,1,Guadalajara,PayPal,Marketplace,4.0,Accesorios,932.47,932.47,Completado
ORD-11898,2024-07-16 18:16:29,CUST-1171,Laptop Ultrabook Air,4,Queretaro,Tarjeta de credito,App movil,5.0,Computo,15799.94,63199.76,Cancelado
ORD-10272,2024-09-04 09:06:15,CUST-1060,Disco SSD 1TB,1,Merida,Transferencia,App movil,5.0,Almacenamiento,1460.06,1460.06,Completado
ORD-11516,2024-11-21 07:23:01,CUST-1356,Laptop Ultrabook Air,3,Ciudad de Mexico,Tarjeta de debito,App movil,4.0,Computo,13998.67,41996.01,Completado
ORD-10060,2024-01-05 20:55:51,CUST-1312,Disco SSD 1TB,1,Monterrey,Tarjeta de debito,App movil,,Almacenamiento,1490.11,1490.11,Cancelado
ORD-10304,2024-07-31 05:50:43,CUST-1037,Impresora Multifuncional,2,Guadalajara,Tarjeta de credito,Sitio web,4.0,Oficina,2418.91,4837.82,Completado
ORD-11650,2024-02-26 03:32:26,CUST-1200,Smartwatch Fit,2,Puebla,Transferencia,App movil,4.0,Wearables,2267.93,4535.86,Completado
ORD-10499,2024-03-23 06:02:29,CUST-1245,Audifonos Bluetooth,1,Guadalajara,Efectivo contra entrega,App movil,4.0,Accesorios,821.47,821.47,Completado
ORD-10625,2024-10-30 16:28:10,CUST-1180,Laptop Gamer X15,4,Guadalajara,Tarjeta de debito,App movil,5.0,Computo,17507.55,70030.2,Completado
ORD-11111,2024-12-11 03:14:29,CUST-1260,Router WiFi 6,2,Ciudad de Mexico,Transferencia,App movil,5.0,Redes,1760.37,3520.74,Completado
ORD-10685,2024-09-08 19:07:58,CUST-1155,Impresora Multifuncional,1,Guadalajara,Tarjeta de debito,Marketplace,5.0,Oficina,2908.39,2908.39,Completado
ORD-10796,2024-05-07 18:32:39,CUST-1040,Teclado Mecanico RGB,1,Queretaro,Tarjeta de credito,App movil,2.0,Accesorios,1157.93,1157.93,Completado
ORD-11472,2024-08-02 20:20:09,CUST-1303,Teclado Mecanico RGB,5,Guadalajara,Tarjeta de credito,Sitio web,5.0,Accesorios,1124.12,5620.6,Completado
ORD-11203,2024-05-01 18:48:53,CUST-1029,Disco SSD 1TB,1,Puebla,Tarjeta de credito,Sitio web,5.0,Almacenamiento,1243.81,1243.81,Completado
ORD-10647,2024-01-17 22:45:13,CUST-1176,Laptop Gamer X15,3,Tijuana,Tarjeta de credito,App movil,5.0,Computo,19038.16,57114.48,Completado
ORD-11543,2024-10-27 17:25:42,CUST-1186,Smartwatch Fit,1,Tijuana,Tarjeta de debito,App movil,2.0,Wearables,2644.56,2644.56,Completado
ORD-11875,2024-03-05 09:26:28,CUST-1024,Mouse Inalambrico Pro,1,Merida,PayPal,App movil,4.0,Accesorios,323.58,323.58,Completado
ORD-11173,2024-08-09 16:46:55,CUST-1320,Tablet 10 pulgadas,1,Ciudad de Mexico,Tarjeta de debito,App movil,1.0,Computo,4057.22,4057.22,Completado
ORD-10950,2024-07-15 22:34:05,CUST-1185, Webcam HD 1080p  ,2,Merida,Efectivo contra entrega,Sitio web,3.0,Accesorios,654.45,1308.9,Completado
ORD-10820,2024-02-01 10:49:31,CUST-1019,Laptop Ultrabook Air,4,Guadalajara,Tarjeta de credito,Marketplace,5.0,Computo,15563.98,62255.92,Completado
ORD-11530,2024-02-18 15:45:52,CUST-1349,Webcam HD 1080p,3,Ciudad de Mexico,Tarjeta de credito,Sitio web,5.0,Accesorios,648.1,1944.3,Completado
ORD-11321,2024-09-07 11:26:06,CUST-1069,Smartwatch Fit,4,Puebla,PayPal,Marketplace,1.0,Wearables,2509.84,10039.36,Completado
ORD-10659,2024-12-21 08:17:14,CUST-1187,Webcam HD 1080p,2,Ciudad de Mexico,Tarjeta de debito,Sitio web,5.0,Accesorios,649.91,1299.82,Completado
ORD-11459,2024-07-21 16:22:06,CUST-1323,Teclado Mecanico RGB,3,Ciudad de Mexico,Transferencia,App movil,5.0,Accesorios,1227.25,3681.75,Completado
ORD-10080,2024-11-28 16:30:37,CUST-1311,Teclado Mecanico RGB,2,Monterrey,Efectivo contra entrega,Sitio web,5.0,Accesorios,1085.73,2171.46,Completado
ORD-10271,2024-12-25 11:30:40,CUST-1057,Cargador USB-C 65W,5,Ciudad de Mexico,Transferencia,App movil,3.0,Accesorios,424.92,2124.6,Completado
ORD-10670,2024-10-08 05:27:18,CUST-1084,Tablet 10 pulgadas,1,Merida,Efectivo contra entrega,Sitio web,5.0,Computo,4400.18,4400.18,Cancelado
ORD-11982,2024-02-01 05:18:43,CUST-1123,Tablet 10 pulgadas,2,Puebla,Tarjeta de debito,Sitio web,4.0,Computo,4194.57,8389.14,Completado
ORD-10127,2024-12-01 05:21:59,CUST-1349,Mouse Inalambrico Pro,1,,Tarjeta de debito,App movil,3.0,Accesorios,323.83,323.83,Devuelto
ORD-10750,2024-10-01 18:17:36,CUST-1155,Mouse Inalambrico Pro,2,Guadalajara,Tarjeta de debito,Sitio web,5.0,Accesorios,337.0,674.0,Completado
ORD-11914,2024-04-15 05:55:50,CUST-1099,Impresora Multifuncional,3,Puebla,PayPal,Sitio web,4.0,Oficina,2836.35,8509.05,Cancelado
ORD-10735,2024-05-04 17:33:57,CUST-1117,Router WiFi 6,1,Tijuana,Efectivo contra entrega,App movil,3.0,Redes,1874.44,1874.44,Cancelado
ORD-10130,2024-04-15 06:00:12,CUST-1110,Silla Ergonomica,1,Monterrey,Tarjeta de credito,App movil,3.0,Oficina,2725.29,2725.29,Cancelado
ORD-10265,2024-10-26 21:40:01,CUST-1251,Cargador USB-C 65W,3,Queretaro,Tarjeta de debito,Sitio web,4.0,Accesorios,386.51,1159.53,Cancelado
ORD-11519,2024-09-23 01:16:30,CUST-1145, Silla Ergonomica  ,1,Tijuana,Tarjeta de debito,App movil,3.0,Oficina,2969.17,2969.17,Completado
ORD-11158,2024-02-11 13:00:20,CUST-1355,Bocina Portatil,3,Merida,Tarjeta de credito,Sitio web,5.0,Accesorios,906.57,2719.71,Completado
ORD-10610,2024-03-03 21:46:14,CUST-1081,Webcam HD 1080p,2,Puebla,Efectivo contra entrega,Sitio web,4.0,Accesorios,694.64,1389.28,Completado
ORD-11937,2024-12-19 07:56:24,CUST-1042,Silla Ergonomica,2,Monterrey,Efectivo contra entrega,Marketplace,5.0,Oficina,2863.33,5726.66,Devuelto
ORD-10164,2024-06-10 06:16:50,CUST-1309,"Monitor Curvo 27""",2,Guadalajara,Tarjeta de credito,Marketplace,5.0,Computo,5996.76,11993.52,Completado
ORD-11574,2024-05-16 04:26:49,CUST-1317,Disco SSD 1TB,4,Puebla,Efectivo contra entrega,App movil,5.0,Almacenamiento,1262.87,5051.48,Completado
ORD-11907,2024-09-20 04:00:20,CUST-1130,Disco SSD 1TB,2,Ciudad de Mexico,Efectivo contra entrega,App movil,5.0,Almacenamiento,1452.33,2904.66,Completado
ORD-11778,2024-04-15 03:59:04,CUST-1380,Cargador USB-C 65W,1,Queretaro,Tarjeta de debito,App movil,4.0,Accesorios,402.74,402.74,Completado
ORD-10188,2024-09-23 20:38:27,CUST-1000,Smartwatch Fit,3,queretaro,Tarjeta de credito,App movil,3.0,Wearables,2434.51,7303.53,Completado
ORD-11039,2024-04-13 09:54:02,CUST-1365,Webcam HD 1080p,4,Tijuana,PayPal,Marketplace,4.0,Accesorios,663.96,2655.84,Cancelado
ORD-10278,2024-03-09 19:33:07,CUST-1231,Laptop Ultrabook Air,5,Monterrey,Tarjeta de debito,App movil,5.0,Computo,14262.68,71313.4,Completado
ORD-11598,2024-10-20 19:32:39,CUST-1389,Smartwatch Fit,2,Merida,Tarjeta de credito,App movil,4.0,Wearables,2536.19,5072.38,Completado
ORD-10635,2024-11-27 14:22:56,CUST-1284,Laptop Ultrabook Air,1,Guadalajara,Tarjeta de debito,App movil,5.0,Computo,13599.84,13599.84,Completado
ORD-10065,2024-07-04 13:24:22,CUST-1330,Laptop Ultrabook Air,3,Queretaro,Efectivo contra entrega,Sitio web,5.0,Computo,13145.87,39437.61,Completado
ORD-10484,2024-04-17 08:32:17,CUST-1337,Router WiFi 6,2,Ciudad de Mexico,Efectivo contra entrega,Sitio web,,Redes,1591.7,3183.4,Cancelado
ORD-10601,2024-10-27 11:06:24,CUST-1306,Tablet 10 pulgadas,2,Guadalajara,Transferencia,Sitio web,2.0,Computo,4449.33,8898.66,Completado
ORD-11106,2024-07-10 17:07:09,CUST-1384,Silla Ergonomica,1,,Efectivo contra entrega,Sitio web,5.0,Oficina,3226.68,3226.68,Devuelto
ORD-11556,2024-05-22 14:01:52,CUST-1381,Mouse Inalambrico Pro,5,Guadalajara,Tarjeta de debito,Sitio web,4.0,Accesorios,354.14,1770.7,Completado
ORD-11049,2024-03-15 20:26:47,CUST-1017,Audifonos Bluetooth,1,Puebla,Tarjeta de debito,Sitio web,,Accesorios,898.02,898.02,Completado
ORD-10862,2024-12-15 07:40:29,CUST-1164,Teclado Mecanico RGB,2,Merida,Tarjeta de credito,App movil,1.0,Accesorios,1122.03,2244.06,Completado
ORD-10319,2024-10-02 22:29:38,CUST-1066,"Monitor Curvo 27""",1,Merida,Transferencia,App movil,4.0,Computo,6979.24,6979.24,Cancelado
ORD-11161,2024-09-25 15:23:08,CUST-1107,Laptop Gamer X15,4,Queretaro,Tarjeta de credito,App movil,,Computo,16055.68,64222.72,Completado
ORD-10713,2024-02-01 05:36:43,CUST-1250,Tablet 10 pulgadas,1,Puebla,PayPal,App movil,4.0,Computo,4213.13,4213.13,Completado
ORD-11046,2024-07-10 22:24:03,CUST-1164,Disco SSD 1TB,4,Puebla,Tarjeta de credito,Sitio web,4.0,Almacenamiento,1466.0,5864.0,Completado
ORD-11305,2024-03-08 20:43:06,CUST-1181,Audifonos Bluetooth,5,Merida,Tarjeta de debito,App movil,4.0,Accesorios,995.17,4975.85,Completado
ORD-11984,2024-08-26 18:24:30,CUST-1022,Silla Ergonomica,1,Puebla,Tarjeta de credito,App movil,2.0,Oficina,3164.13,3164.13,Completado
ORD-10093,2024-02-24 11:37:01,CUST-1235,Mouse Inalambrico Pro,5,Monterrey,Tarjeta de debito,Sitio web,,Accesorios,338.0,1690.0,Completado
ORD-10694,2024-11-03 19:25:27,CUST-1252,Bocina Portatil,2,Monterrey,Efectivo contra entrega,Sitio web,5.0,Accesorios,913.62,1827.24,Completado
ORD-10748,2024-10-26 05:57:06,CUST-1317,Tablet 10 pulgadas,1,Tijuana,Tarjeta de debito,App movil,4.0,Computo,3850.03,3850.03,Completado
ORD-10320,2024-12-08 14:45:27,CUST-1088,Teclado Mecanico RGB,1,Monterrey,Transferencia,Sitio web,5.0,Accesorios,1157.51,1157.51,Cancelado
ORD-11828,2024-05-14 23:49:55,CUST-1023,Tablet 10 pulgadas,5,Guadalajara,Tarjeta de credito,Sitio web,,Computo,4553.76,22768.8,Completado
ORD-11567,2024-10-09 16:07:44,CUST-1190,"Monitor Curvo 27""",1,Puebla,PayPal,App movil,4.0,Computo,6617.82,6617.82,Devuelto
ORD-10012,2024-08-06 02:17:05,CUST-1014,Cargador USB-C 65W,1,Guadalajara,Tarjeta de credito,Sitio web,5.0,Accesorios,421.98,421.98,Completado
ORD-11144,2024-10-31 21:28:11,CUST-1086,Mouse Inalambrico Pro,2,Monterrey,Tarjeta de credito,App movil,5.0,Accesorios,354.49,708.98,Cancelado
ORD-10983,2024-11-15 03:38:59,CUST-1271,Tablet 10 pulgadas,2,Ciudad de Mexico,Efectivo contra entrega,App movil,4.0,Computo,4045.94,8091.88,Completado
ORD-11961,2024-05-18 14:35:44,CUST-1287,Laptop Gamer X15,1,Puebla,Tarjeta de credito,App movil,3.0,Computo,18317.41,18317.41,Completado
ORD-11680,2024-02-24 13:47:14,CUST-1191,Bocina Portatil,1,Monterrey,Efectivo contra entrega,App movil,2.0,Accesorios,875.2,875.2,Devuelto
ORD-11844,2024-04-06 01:22:53,CUST-1118,Router WiFi 6,4,Queretaro,Tarjeta de credito,Sitio web,5.0,Redes,1826.2,7304.8,Devuelto
ORD-11456,2024-10-07 15:18:10,CUST-1323,Smartwatch Fit,4,Ciudad de Mexico,PayPal,App movil,5.0,Wearables,2593.73,10374.92,Completado
ORD-11959,2024-07-07 12:45:47,CUST-1076,Smartwatch Fit,1,Guadalajara,Efectivo contra entrega,Sitio web,4.0,Wearables,2573.16,2573.16,Completado
ORD-11738,2024-01-16 01:39:05,CUST-1119,Laptop Gamer X15,2,Merida,PayPal,Marketplace,,Computo,17676.21,35352.42,Completado
ORD-10221,2024-11-13 20:54:07,CUST-1345,Laptop Ultrabook Air,1,Ciudad de Mexico,Transferencia,Sitio web,,Computo,13427.65,13427.65,Devuelto
ORD-10544,2024-12-24 09:03:38,CUST-1155,Tablet 10 pulgadas,1,Guadalajara,Transferencia,Marketplace,5.0,Computo,4129.52,4129.52,Completado
ORD-11986,2024-12-21 04:08:28,CUST-1398,Silla Ergonomica,2,Monterrey,Transferencia,Marketplace,5.0,Oficina,3270.55,6541.1,Completado
ORD-10678,2024-11-28 18:58:51,CUST-1216,Bocina Portatil,1,Guadalajara,Tarjeta de debito,Sitio web,,Accesorios,902.05,902.05,Cancelado
ORD-11479,2024-04-02 15:00:20,CUST-1376,Webcam HD 1080p,1,Monterrey,Tarjeta de debito,App movil,2.0,Accesorios,666.07,666.07,Completado
